station,init_utc,fhour,valid_utc,var,val
ZBAA,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,sp,101120.544
ZGGG,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,sp,100050.144
ZGSZ,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,sp,100859.744
ZHCC,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,sp,99050.144
ZHHH,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,sp,100432.544
ZSJN,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,sp,100259.744
ZSPD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,sp,101547.744
ZSQD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,sp,99834.144
ZUCK,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,sp,95958.944
ZUUU,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,sp,94587.744
ZSQD_NEW,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,sp,101088.544
ZBAA,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,t2m,286.5
ZGGG,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,t2m,301.1
ZGSZ,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,t2m,298.8
ZHCC,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,t2m,296.6
ZHHH,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,t2m,297.0
ZSJN,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,t2m,295.4
ZSPD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,t2m,287.8
ZSQD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,t2m,290.2
ZUCK,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,t2m,294.4
ZUUU,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,t2m,294.7
ZSQD_NEW,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,t2m,290.8
ZBAA,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,r2,20.5
ZGGG,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,r2,77.4
ZGSZ,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,r2,83.6
ZHCC,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,r2,64.8
ZHHH,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,r2,61.7
ZSJN,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,r2,40.0
ZSPD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,r2,79.4
ZSQD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,r2,36.8
ZUCK,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,r2,75.6
ZUUU,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,r2,59.6
ZSQD_NEW,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,r2,50.5
ZBAA,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,u10,-2.764
ZGGG,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,u10,-2.354
ZGSZ,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,u10,-2.084
ZHCC,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,u10,-1.674
ZHHH,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,u10,-6.974
ZSJN,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,u10,0.746
ZSPD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,u10,-3.244
ZSQD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,u10,0.026
ZUCK,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,u10,-1.564
ZUUU,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,u10,-0.864
ZSQD_NEW,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,u10,-2.434
ZBAA,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,v10,1.526
ZGGG,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,v10,4.936
ZGSZ,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,v10,7.176
ZHCC,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,v10,4.996
ZHHH,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,v10,4.306
ZSJN,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,v10,-0.514
ZSPD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,v10,3.716
ZSQD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,v10,2.156
ZUCK,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,v10,-1.194
ZUUU,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,v10,-0.814
ZSQD_NEW,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,v10,3.216
ZBAA,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,tcc,5.1
ZGGG,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,tcc,94.4
ZGSZ,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,tcc,28.7
ZHCC,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,tcc,100.0
ZHHH,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,tcc,100.0
ZSJN,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,tcc,5.0
ZSPD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,tcc,3.7
ZSQD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,tcc,0.0
ZUCK,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,tcc,100.0
ZUUU,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,tcc,41.2
ZSQD_NEW,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,tcc,0.0
ZBAA,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,dswrf,510.56
ZGGG,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,dswrf,381.48
ZGSZ,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,dswrf,401.22
ZHCC,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,dswrf,484.42
ZHHH,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,dswrf,469.56
ZSJN,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,dswrf,549.06
ZSPD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,dswrf,653.82
ZSQD,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,dswrf,594.34
ZUCK,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,dswrf,121.96
ZUUU,2024-04-01T00:00:00+00:00,2,2024-04-01T02:00:00+00:00,dswrf,229.52
